,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_002.nii.gz,0.577810948,0.345475608,0.999854545,0.986402058,0.980461121,0.013597942,0.000145455,0.986402058,0.980398808,0.511725453,0.998692431,0.429124165,0.672665077,0.511725453
MRI_578.nii.gz,0.957214975,0.962299465,0.999318896,0.953377483,0.998790741,0.046622517,0.000681104,0.953377483,0.999454269,0.957817698,0.993903284,0.959605386,0.980809181,0.957817698
MRI_458.nii.gz,0.942830762,0.953246753,0.999496578,0.933367243,0.999156952,0.066632757,0.000503422,0.933367243,0.999654083,0.943202262,0.995487375,0.947194549,0.976371666,0.943202262
MRI_675.nii.gz,0.902935132,0.98245614,0.999037909,0.830748483,0.998958588,0.169251517,0.000962091,0.830748483,0.999915599,0.900255754,0.991407314,0.931428139,0.990747025,0.900255754
MRI_742.nii.gz,0.935768753,0.893638171,0.999931071,0.980370774,0.999523163,0.019629226,6.89E-05,0.980370774,0.999590395,0.9349974,0.99937998,0.918002655,0.946784621,0.9349974
MRI_300.nii.gz,0.905938288,0.887253429,0.99744207,0.932148117,0.993244171,0.067851883,0.00255793,0.932148117,0.99554303,0.909146873,0.977440278,0.900261107,0.94234775,0.909146873
MRI_598.nii.gz,0.975155865,0.975672646,0.999166746,0.97632937,0.99836731,0.02367063,0.000833254,0.97632937,0.999143072,0.976000897,0.99255037,0.97586957,0.987419696,0.976000897
MRI_431.nii.gz,0.95560312,0.939715602,0.999502238,0.973443983,0.998363495,0.026556017,0.000497762,0.973443983,0.998830268,0.956282482,0.99553791,0.949586125,0.96960892,0.956282482
MRI_704.nii.gz,0.811773942,0.673778776,0.999907821,0.980392157,0.997692108,0.019607843,9.22E-05,0.980392157,0.997773264,0.798668885,0.999171,0.743540492,0.836843298,0.798668885
MRI_098.nii.gz,0.915502767,0.969655345,0.995411905,0.869443511,0.994625092,0.130556489,0.004588095,0.869443511,0.999040334,0.916819175,0.960169131,0.937247281,0.982533625,0.916819175
MRI_142.nii.gz,0.934685317,0.999686028,0.998250688,0.875446797,0.998268127,0.124553203,0.001749312,0.875446797,0.999996132,0.933450601,0.984473481,0.958862856,0.998968358,0.933450601
MRI_801.nii.gz,0.845054192,0.978196818,0.997665552,0.731922399,0.99753952,0.268077601,0.002334448,0.731922399,0.999857624,0.837326608,0.979375148,0.88850827,0.987931185,0.837326608
MRI_461.nii.gz,0.946427601,0.980628771,0.998888009,0.914691943,0.998668671,0.085308057,0.001111991,0.914691943,0.999764268,0.94651341,0.990080329,0.959870691,0.98975839,0.94651341
MRI_185.nii.gz,0.906943773,0.834240774,0.9999309,0.987115247,0.998886108,0.012884753,6.91E-05,0.987115247,0.998949173,0.904262295,0.999378441,0.874888973,0.917085837,0.904262295
